      ThetaG      Theta2      Theta3      Theta4      Ex_Raw    Ex_Scale    Raw_CSEM  Scale_CSEM
     0.19922     0.71900    -0.53654     0.52591    22.52279    71.55094     2.30449     2.29082
    -0.14641     0.22208     0.12918     0.50320    21.67016    70.71662     2.35518     2.27820
    -1.84413     1.42079     1.84528     0.06905    16.93096    66.69588     2.46645     1.82050
    -0.46085    -0.17105    -0.77604    -1.65840    17.18007    66.88115     2.49632     1.86908
     0.03165     1.69999    -0.19044    -0.27334    22.39017    71.41645     2.26727     2.24667
     0.30524     1.43558     0.17912     0.67376    24.13533    73.18620     2.12949     2.22933
     0.27808     1.23072    -0.08191    -0.65840    22.72101    71.74332     2.21752     2.21848
    -0.62422    -1.29391    -0.43368    -1.27481    16.10825    66.11373     2.55125     1.82241
    -1.61711     2.10737    -1.46549    -0.25408    13.71948    64.47143     2.48473     1.71578
     0.60894    -1.30382     0.05463     0.69896    23.05307    72.07665     2.20229     2.22220
    -0.24001    -0.06986    -0.98905    -1.02211    18.32031    67.75521     2.49618     2.00842
     0.09948     0.05376    -0.13183    -0.38727    21.48058    70.53221     2.34168     2.25192
    -0.68106    -0.68207    -2.34852     0.20457    14.74508    65.17033     2.56153     1.77469
     0.08855    -0.73026    -0.23597     0.66056    21.46756    70.52271     2.37335     2.27821
    -1.25302    -0.90117    -2.25900     1.76992    12.96864    63.95596     2.54274     1.77285
    -0.91586    -0.46390     0.70607    -0.64549    17.55368    67.15979     2.48947     1.90552
     0.98817    -0.67755     1.08222    -0.53585    24.21919    73.26649     2.03691     2.13531
    -0.67487     1.11988     1.24204    -0.26289    20.79330    69.87811     2.32836     2.18019
    -0.26837    -1.61537     1.22673     0.68106    20.51779    69.62438     2.34856     2.16970
    -2.81283     0.62668    -0.24417    -0.36735     8.36630    60.58503     2.34770     1.92226
     0.48132     0.50854    -0.09203    -0.91061    22.69318    71.71489     2.20884     2.20835
     0.48440     0.40195    -0.67541     0.92548    23.34397    72.37464     2.23364     2.27527
    -0.37901    -1.28586     0.01944     0.22505    19.01727    68.32438     2.49867     2.10476
     1.43262     0.82885    -1.29255     1.64248    25.74332    74.92603     1.94408     2.21712
    -0.21881     1.86187    -0.57586    -0.03204    21.26473    70.32770     2.36814     2.25789
     1.37182    -0.33061     0.04018    -0.31143    25.07895    74.18415     1.98130     2.16957
    -0.42119    -0.84688     0.41973    -0.43508    19.18634    68.45914     2.44720     2.08585
     1.78329    -0.50722    -0.69565     2.62937    26.59631    75.90927     1.76874     2.13332
    -0.08029     1.07795    -0.41787    -1.29359    20.52745    69.63250     2.34075     2.16348
    -0.73419     1.36517     0.87550    -0.29725    20.45350    69.56675     2.35988     2.17139
    -0.46219     0.05417    -1.06318    -0.42617    17.76814    67.33001     2.54565     1.97818
    -0.37232     0.83892    -0.58759     2.22801    21.42860    70.48794     2.40133     2.29972
    -0.42090     0.91195    -1.00474     0.61764    19.58507    68.80729     2.48908     2.17386
    -0.14416    -2.02207    -1.87047     0.48177    16.77239    66.58736     2.54278     1.86731
     0.05276    -0.20264    -0.06854     1.00990    22.19323    71.22559     2.32319     2.28590
    -1.10121     0.50639    -0.27772    -1.45273    15.81685    65.90834     2.53929     1.79467
    -0.16320    -0.36172    -1.95517    -1.54161    16.59774    66.45552     2.46837     1.79244
     0.55830    -0.46428    -0.30530     1.95860    23.90053    72.94219     2.15238     2.23169
     0.08112     1.03365     1.08925     0.46541    23.69351    72.72721     2.14267     2.20569
     2.33288    -0.10506     0.21316     0.67952    27.46060    76.95883     1.61755     2.01802
    -1.33227     0.86460    -0.41924     1.19495    16.60461    66.47386     2.63329     1.92640
     0.26863    -0.04504     0.26029    -1.46315    21.49883    70.54079     2.23766     2.16123
     0.89091     1.03173     1.08495    -1.78772    24.03069    73.06368     1.96187     2.03549
    -0.06779    -0.50548    -0.32871     0.57503    20.88385    69.97365     2.42395     2.26978
