      ThetaG      Theta2      Theta3      Theta4      Ex_Raw    Ex_Scale    Raw_CSEM  Scale_CSEM
     0.19922     0.71900    -0.53654     0.52591    22.91096    71.93836     2.28232     2.29607
    -0.14641     0.22208     0.12918     0.50320    21.70286    70.74824     2.37053     2.29893
    -1.84413     1.42079     1.84528     0.06905    16.16133    66.02442     2.60033     1.99714
    -0.46085    -0.17105    -0.77604    -1.65840    17.56713    67.10843     2.50364     2.00916
     0.03165     1.69999    -0.19044    -0.27334    22.68358    71.70923     2.27420     2.27241
     0.30524     1.43558     0.17912     0.67376    24.26080    73.32009     2.14648     2.26069
     0.27808     1.23072    -0.08191    -0.65840    22.85500    71.87791     2.22067     2.22972
    -0.62422    -1.29391    -0.43368    -1.27481    16.34502    66.16036     2.53233     1.95189
    -1.61711     2.10737    -1.46549    -0.25408    14.60666    64.86367     2.53750     1.88040
     0.60894    -1.30382     0.05463     0.69896    22.85631    71.87430     2.13637     2.14386
    -0.24001    -0.06986    -0.98905    -1.02211    18.98563    68.27283     2.48498     2.13244
     0.09948     0.05376    -0.13183    -0.38727    21.53683    70.58426     2.33332     2.25309
    -0.68106    -0.68207    -2.34852     0.20457    16.16447    66.02729     2.60749     2.00361
     0.08855    -0.73026    -0.23597     0.66056    21.57290    70.61894     2.32913     2.25118
    -1.25302    -0.90117    -2.25900     1.76992    14.36229    64.68573     2.54686     1.87807
    -0.91586    -0.46390     0.70607    -0.64549    17.26204    66.87125     2.55277     2.02750
     0.98817    -0.67755     1.08222    -0.53585    23.65998    72.68482     2.01837     2.07107
    -0.67487     1.11988     1.24204    -0.26289    20.58383    69.69026     2.43041     2.25664
    -0.26837    -1.61537     1.22673     0.68106    20.36759    69.48037     2.33629     2.15289
    -2.81283     0.62668    -0.24417    -0.36735     8.81748    60.56683     2.28236     1.94348
     0.48132     0.50854    -0.09203    -0.91061    22.66416    71.68506     2.19875     2.19725
     0.48440     0.40195    -0.67541     0.92548    23.71062    72.74871     2.19284     2.26148
    -0.37901    -1.28586     0.01944     0.22505    19.10251    68.37043     2.46529     2.12761
     1.43262     0.82885    -1.29255     1.64248    26.26608    75.52544     1.86789     2.20094
    -0.21881     1.86187    -0.57586    -0.03204    21.85182    70.89307     2.36749     2.30674
     1.37182    -0.33061     0.04018    -0.31143    24.56739    73.62914     1.96643     2.09279
    -0.42119    -0.84688     0.41973    -0.43508    19.06015    68.33334     2.45835     2.11729
     1.78329    -0.50722    -0.69565     2.62937    26.39543    75.66134     1.73058     2.07222
    -0.08029     1.07795    -0.41787    -1.29359    20.80490    69.88871     2.35350     2.20984
    -0.73419     1.36517     0.87550    -0.29725    20.26447    69.39927     2.45803     2.24855
    -0.46219     0.05417    -1.06318    -0.42617    18.58075    67.93821     2.54739     2.14351
    -0.37232     0.83892    -0.58759     2.22801    21.96832    71.00874     2.38976     2.33599
    -0.42090     0.91195    -1.00474     0.61764    20.46293    69.58515     2.49244     2.29928
    -0.14416    -2.02207    -1.87047     0.48177    18.17835    67.60013     2.49775     2.05795
     0.05276    -0.20264    -0.06854     1.00990    22.25945    71.28936     2.30921     2.27966
