      Theta1      Theta2      Theta3      Ex_Raw    Ex_Scale    Raw_CSEM  Scale_CSEM
     0.19922     0.48388    -0.44409    21.91843    70.95088     2.26158     2.21137
     0.52591     0.41509     0.55732    23.30832    72.33653     2.20903     2.24706
     0.12918     0.32936    -1.23813    20.79820    69.87510     2.25644     2.11888
     1.42079     2.06650     0.40238    25.46598    74.60196     1.88039     2.10857
    -0.46085    -0.48999    -0.74972    18.85924    68.19350     2.50295     2.08667
    -1.65840    -1.49033    -0.10567    14.41869    64.94875     2.67413     1.85598
    -0.19044    -0.28796     0.15205    20.71913    69.82204     2.44207     2.26863
     1.43558     1.37720     1.36460    25.91456    75.11571     1.88635     2.17691
     0.27808     0.77121    -0.28008    22.55270    71.57436     2.20715     2.19837
    -0.65840    -0.86025    -1.05651    17.32479    66.99561     2.56014     1.93757
    -0.43368    -0.93088    -0.87809    17.76650    67.32899     2.54844     1.97988
     2.10737     1.29268     1.81872    26.63021    75.95198     1.78887     2.15656
     0.60894     0.00223     0.90851    23.10637    72.13378     2.24831     2.27331
     0.69896     0.53252     0.52763    23.63129    72.66490     2.16889     2.22876
    -0.98905    -1.32786    -0.27792    16.25185    66.22245     2.65291     1.91415
     0.05376    -0.00686    -0.15970    21.28019    70.34242     2.36647     2.25714
    -0.68106    -0.90520    -1.71322    16.59506    66.45736     2.52131     1.83380
     0.20457     0.22284    -0.34491    21.66432    70.70667     2.30598     2.23412
    -0.23597     0.06464    -1.17727    19.87784    69.04633     2.35848     2.10272
    -0.90117    -1.76985     1.25552    16.79551    66.60715     2.57503     1.89611
    -0.91586    -1.02608    -0.03865    17.45082    67.09816     2.62940     2.00920
    -0.64549    -0.16850    -1.21581    18.67573    68.03516     2.45094     2.01804
     1.08222     0.75525     0.51837    24.27424    73.32891     2.08747     2.19674
     1.11988     1.53925     0.19140    24.67710    73.74793     1.98424     2.12415
    -0.26837    -0.92463     1.13643    20.12962    69.28893     2.48828     2.24086
     0.68106    -0.56882     1.83632    22.78902    71.81455     2.26413     2.26799
    -0.24417    -0.37633     0.25712    20.56422    69.68092     2.46031     2.26748
     0.50854     0.42228    -0.18321    22.51819    71.54153     2.23268     2.22123
     0.48440     0.60874    -0.22261    22.68729    71.70876     2.20501     2.20413
     0.92548     0.67928    -0.02801    23.46557    72.49263     2.13782     2.18416
     0.01944     0.11254     0.83379    22.44496    71.47414     2.31324     2.29314
     0.82885     0.20638     2.05330    24.51539    73.58499     2.09027     2.22377
    -0.21881     0.58687    -1.15415    20.67962    69.76574     2.27154     2.12059
    -0.03204     0.54953    -0.70133    21.38957    70.43878     2.27601     2.18682
     0.04018    -0.09492    -0.12869    21.14015    70.21081     2.38300     2.25922
    -0.84688    -0.59084    -1.00926    17.59854    67.20096     2.55147     1.96179
     1.78329     1.40300     0.98584    25.87731    75.07202     1.88289     2.16836
     2.62937     2.35020     2.54201    27.93475    77.54104     1.52727     1.89490
    -0.41787    -0.92447    -0.30739    18.41838    67.84273     2.56250     2.07612
     1.36517     1.60706     0.46749    25.21978    74.33417     1.93553     2.13683
    -0.46219    -0.39622    -1.00801    18.78877    68.13144     2.47609     2.05457
    -0.42617    -0.54344     0.35559    19.99406    69.16999     2.50651     2.23959
    -0.58759     0.40691    -1.44091    19.51191    68.72142     2.33208     2.03388
     0.91195     0.40311     1.37034    24.42991    73.49524     2.10347     2.22971
    -0.14416    -0.98354    -0.57736    18.45455    67.86685     2.52659     2.05159
     0.48177     0.45907     0.19185    22.93954    71.96344     2.22359     2.23773
    -0.06854     0.36379    -1.08520    20.69519    69.78235     2.29028     2.13788
     0.50639     0.34202    -0.46051    22.10233    71.13018     2.24358     2.20654
    -0.16320    -0.30053    -1.21474    19.30624    68.55512     2.40628     2.06754
    -1.54161    -1.16232    -1.56112    14.10147    64.73124     2.60961     1.80575
    -0.30530     0.54925    -0.83628    20.79903    69.88147     2.31001     2.16516
