      Theta1      Theta2      Theta3      Ex_Raw    Ex_Scale    Raw_CSEM  Scale_CSEM
     0.19922     0.36198    -0.50698    21.86292    70.89647     2.26995     2.21774
     0.52591     0.47703     0.50862    23.35037    72.37813     2.18839     2.22966
     0.12918     0.24337    -1.50649    20.61642    69.70415     2.27448     2.12434
     1.42079     1.81322     0.33669    25.15918    74.26334     1.90178     2.09145
    -0.46085    -0.48808    -0.81613    19.01990    68.30405     2.50228     2.15116
    -1.65840    -1.60492     0.38859    14.86325    65.05506     2.61488     1.94821
    -0.19044    -0.24913     0.20749    20.94453    70.02692     2.42359     2.28478
     1.43558     1.43763     1.28015    25.68285    74.84956     1.89156     2.15156
     0.27808     0.55841    -0.25037    22.46793    71.49060     2.22282     2.20997
    -0.65840    -0.78622    -1.20486    17.57758    67.12124     2.55667     2.05571
    -0.43368    -0.72001    -1.15023    18.19609    67.61806     2.52924     2.08814
     2.10737     1.70583     1.38987    26.36378    75.63127     1.79066     2.13155
     0.60894     0.28686     0.74633    23.37757    72.40708     2.20560     2.24954
     0.69896     0.62336     0.40380    23.63224    72.66439     2.14592     2.20531
    -0.98905    -1.20081    -0.19223    16.84534    66.55119     2.62689     2.06041
     0.05376     0.02141    -0.23540    21.40075    70.45470     2.35222     2.25971
    -0.68106    -0.82179    -2.02436    16.69221    66.42558     2.52017     1.96134
     0.20457     0.21962    -0.47982    21.69124    70.73106     2.29702     2.23107
    -0.23597    -0.07481    -1.29358    19.75519    68.93182     2.38893     2.13439
    -0.90117    -1.40487     1.50435    17.81091    67.30920     2.56544     2.08469
    -0.91586    -0.99900     0.16684    17.86216    67.35368     2.60203     2.12014
    -0.64549    -0.39627    -1.16508    18.54251    67.90043     2.49457     2.09281
     1.08222     0.92674     0.22871    24.17186    73.21887     2.05885     2.15600
     1.11988     1.37948     0.07686    24.42974    73.48520     1.99249     2.10747
    -0.26837    -0.63900     1.25604    20.79349    69.88846     2.45727     2.30050
     0.68106     0.00378     1.65272    23.62995    72.66634     2.20612     2.26904
    -0.24417    -0.32337     0.34093    20.82598    69.91705     2.43934     2.28778
     0.50854     0.47287    -0.40004    22.50055    71.52251     2.21320     2.20243
     0.48440     0.56503    -0.36741    22.61812    71.63901     2.19862     2.19490
     0.92548     0.81106    -0.37946    23.34889    72.37153     2.10660     2.14412
     0.01944     0.07158     1.06614    22.53280    71.56028     2.30041     2.28881
     0.82885     0.50330     2.10536    24.77019    73.85607     2.05767     2.21744
    -0.21881     0.22305    -1.08967    20.47504    69.57918     2.33565     2.16418
    -0.03204     0.28993    -0.65740    21.28850    70.34325     2.30984     2.21312
     0.04018    -0.03383    -0.21953    21.30080    70.35988     2.36456     2.26287
    -0.84688    -0.72511    -0.93064    17.64036    67.17242     2.56914     2.07181
     1.78329     1.61504     0.59729    25.53355    74.67821     1.87891     2.11695
     2.62937     2.53754     2.33645    27.49518    76.99910     1.59472     1.99502
    -0.41787    -0.70903    -0.44724    18.94420    68.24343     2.53617     2.17263
