RawScore	roundedSS	Equated Raw Score	Unrounded SS
0	50	-0.01	50.0000
1	51	0.96	51.2900
2	53	1.93	53.0400
3	55	2.90	54.6200
4	56	3.88	56.0100
5	57	4.85	57.2300
6	58	5.82	58.3100
7	59	6.79	59.2700
8	60	7.77	60.1300
9	61	8.60	60.9100
10	62	9.56	61.6400
11	62	10.56	62.3300
12	63	11.54	63.0100
13	64	12.55	63.6800
14	64	13.60	64.3700
15	65	14.74	65.0900
16	66	15.85	65.8200
17	67	16.92	66.5600
18	67	17.93	67.3100
19	68	18.95	68.0900
20	69	19.94	68.9000
21	70	20.94	69.7500
22	71	21.98	70.6600
23	72	22.97	71.6300
24	73	23.97	72.6700
25	74	25.00	73.7900
26	75	26.04	75.0000
27	76	27.07	76.2600
28	78	27.94	77.5500
29	79	28.81	78.9100
30	80	29.88	79.9200
31	80	30.96	80.0000
			
			
			
			
			
			
			
			
			
			
			
			
